Vehicle Name,Price,City,Year,Mileage,Engine type,Engine Capacity,Transmission
Hyundai Sonata 2022 2.5 for Sale,PKR 81.5 lacs,Peshawar,2022,25 km,Petrol,2500 cc,Automatic
Suzuki Wagon R 2012 FX Limited for Sale,PKR 16.9 lacs,Islamabad,2012,"84,513 km",Petrol,660 cc,Automatic
Nissan Clipper 2020 G for Sale,PKR 19 lacs,Faisalabad,2020,"5,200 km",Petrol,660 cc,Automatic
Hyundai Sonata 2022 2.0 for Sale,PKR 71.5 lacs,Lahore,2022,"1,500 km",Petrol,2000 cc,Automatic
Suzuki Liana 2010 RXi for Sale,PKR 9.85 lacs,Karachi,2010,"75,000 km",Petrol,1300 cc,Manual
Toyota Land Cruiser 2016 ZX for Sale,PKR 3.46 crore,Lahore,2016,"54,000 km",Petrol,4600 cc,Automatic
Toyota Camry XV40 2009 Up-Spec Automatic 2.4 f...,PKR 31.75 lacs,Karachi,2009,"90,000 km",Petrol,2400 cc,Automatic
Toyota Corolla 2011 GLi Automatic 1.6 VVTi fo...,PKR 21.5 lacs,Karachi,2011,"79,000 km",Petrol,1600 cc,Automatic
Toyota Corolla 2022 Altis Grande X CVT-i 1.8 ...,PKR 48.5 lacs,Karachi,2022,37 km,Petrol,1800 cc,Automatic
Toyota Corolla 2012 GLi Automatic 1.6 VVTi fo...,PKR 22 lacs,Karachi,2012,"53,000 km",Petrol,1600 cc,Automatic
Toyota Fortuner 2022 2.8 Sigma 4 for Sale,PKR 1.18 crore,Karachi,2022,43 km,Diesel,2700 cc,Automatic
Daihatsu Cuore 2010 CX Automatic for Sale,PKR 10.75 lacs,Karachi,2010,"70,000 km",Petrol,800 cc,Automatic
Honda City 2016 1.3 i-VTEC for Sale,PKR 22.3 lacs,Karachi,2016,"98,000 km",Petrol,1300 cc,Manual
Suzuki Mehran 2018 VXR Euro II for Sale,PKR 12.25 lacs,Faisalabad,2018,"45,000 km",Petrol,800 cc,Manual
Honda City 2017 Aspire Prosmatec 1.5 i-VTEC f...,PKR 26.5 lacs,Rawalpindi,2017,"110,000 km",Petrol,1500 cc,Automatic
Honda Civic Reborn 2008 VTi 1.8 i-VTEC for Sale,PKR 15.4 lacs,Rawalpindi,2008,"137,000 km",Petrol,1800 cc,Manual
Toyota Passo 2010 + Hana Apricot Collection 1...,PKR 15.65 lacs,Karachi,2010,"113,652 km",Petrol,1000 cc,Automatic
Suzuki Wagon R 2022 VXL for Sale,PKR 23 lacs,Gujranwala,2022,"5,300 km",Petrol,1000 cc,Automatic
Toyota Tank 2018 G Turbo for Sale,PKR 27.5 lacs,Lahore,2018,"35,000 km",Petrol,1000 cc,Automatic
Honda Civic 2016 Oriel 1.8 i-VTEC CVT for Sale,PKR 35.45 lacs,Lahore,2016,"40,000 km",Petrol,1800 cc,Automatic
Toyota Fortuner 2022 2.8 Sigma 4 for Sale,PKR 1.2 crore,Islamabad,2022,2 km,Diesel,2800 cc,Automatic
Suzuki Mehran 2002 VXR for Sale,PKR 3.75 lacs,Karachi,2002,"57,000 km",Petrol,800 cc,Manual
Toyota Land Cruiser 2010 ZX for Sale,PKR 2.1 crore,Gujrat,2010,"160,000 km",Petrol,4600 cc,Automatic
Toyota Vitz 2003 F 1.3 for Sale,PKR 16 lacs,Lower Dir,2003,"135,000 km",Petrol,1300 cc,Automatic
Toyota Corolla 2015 XLi VVTi for Sale,PKR 21.5 lacs,Sialkot,2015,"155,000 km",Petrol,1300 cc,Manual
Honda Civic 2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 37.5 lacs,Lahore,2018,"39,000 km",Petrol,1800 cc,Automatic
Toyota Corolla 2013 GLi 1.3 VVTi for Sale,PKR 26.25 lacs,Rawalpindi,2013,"25,000 km",Petrol,1300 cc,Manual
Toyota Corolla 2015 GLi 1.3 VVTi for Sale,PKR 24.25 lacs,Lahore,2015,"57,000 km",Petrol,1300 cc,Manual
Suzuki Wagon R 2022 VXL for Sale,PKR 22 lacs,Islamabad,2022,50 km,Petrol,1000 cc,Manual
FAW X-PV 2018 Dual AC for Sale,PKR 10.9 lacs,Islamabad,2018,"56,000 km",Petrol,1000 cc,Manual
Suzuki Swift 2022 GL Manual for Sale,PKR 30 lacs,Faisalabad,2022,10 km,Petrol,1200 cc,Manual
Toyota Corolla 2011 GLi 1.3 VVTi for Sale,PKR 17.5 lacs,Chowk azam,2011,"243,708 km",Petrol,1300 cc,Manual
Toyota Yaris 2020 ATIV X CVT 1.5 for Sale,PKR 33.5 lacs,Rawalpindi,2020,"33,000 km",Petrol,1500 cc,Automatic
